Time [s],Proposed_system,Standard
1143.0,82,145
1144.0,83,147
1145.0,83,147
1146.0,82,146
1147.0,83,147
1148.0,84,148
1149.0,83,147
1150.0,82,144
1151.0,82,143
1152.0,82,141
1153.0,81,140
1154.0,82,141
1155.0,81,141
1156.0,81,139
1157.0,81,139
1158.0,81,138
1159.0,82,137
1160.0,82,136
1161.0,83,138
1162.0,84,139
1163.0,86,140
1164.0,88,140
1165.0,89,141
1166.0,91,142
1167.0,91,141
1168.0,92,141
1169.0,92,141
1170.0,91,142
1171.0,89,141
1172.0,90,140
1173.0,90,140
1174.0,89,140
1175.0,89,140
1176.0,89,140
1177.0,86,141
1178.0,85,141
1179.0,85,141
1180.0,84,141
1181.0,83,140
1182.0,82,141
1183.0,82,140
1184.0,82,139
1185.0,82,140
1186.0,81,139
1187.0,83,141
1188.0,82,140
1189.0,82,141
1190.0,83,143
1191.0,83,143
1192.0,83,144
1193.0,83,145
1194.0,82,144
1195.0,83,144
1196.0,83,143
1197.0,83,144
1198.0,83,142
1199.0,83,143
1200.0,83,141
1201.0,83,141
1202.0,81,139
1203.0,81,139
1204.0,81,139
1205.0,80,140
1206.0,80,139
1207.0,78,139
1208.0,76,140
1209.0,77,140
1210.0,77,141
1211.0,75,141
1212.0,76,141
1213.0,76,144
1214.0,78,143
1215.0,78,143
1216.0,78,143
1217.0,75,142
1218.0,74,142
1219.0,74,143
1220.0,72,142
1221.0,73,141
1222.0,73,141
1223.0,73,139
1224.0,71,139
1225.0,72,141
1226.0,72,140
1227.0,71,139
1228.0,72,140
1229.0,72,139
1230.0,71,139
1231.0,72,138
1232.0,69,137
1233.0,71,137
1234.0,71,136
1235.0,73,139
1236.0,74,139
1237.0,76,140
1238.0,76,142
1239.0,77,143
1240.0,78,143
1241.0,79,144
1242.0,79,144
1243.0,80,145
1244.0,80,145
1245.0,80,146
1246.0,80,146
1247.0,81,146
1248.0,80,146
1249.0,81,147
1250.0,80,147
1251.0,80,148
1252.0,79,148
1253.0,79,147
1254.0,79,147
1255.0,78,146
1256.0,76,146
1257.0,78,149
1258.0,80,150
1259.0,81,152
1260.0,82,153
1261.0,81,155
1262.0,81,155
1263.0,82,157
1264.0,83,157
1265.0,82,159
1266.0,84,158
1267.0,84,160
1268.0,85,160
1269.0,84,160
1270.0,83,161
1271.0,84,159
1272.0,83,159
1273.0,84,159
1274.0,83,157
1275.0,83,156
1276.0,81,156
1277.0,80,155
1278.0,79,155
1279.0,79,153
1280.0,78,152
1281.0,78,152
1282.0,80,153
1283.0,80,153
1284.0,78,149
1285.0,76,149
1286.0,77,150
1287.0,76,150
1288.0,75,150
1289.0,75,151
1290.0,77,152
1291.0,77,152
1292.0,76,151
1293.0,76,153
1294.0,75,154
1295.0,75,154
1296.0,78,155
1297.0,77,155
1298.0,78,155
1299.0,80,156
1300.0,81,158
1301.0,80,158
1302.0,81,159
1303.0,81,159
1304.0,80,161
1305.0,81,162
1306.0,80,162
1307.0,81,163
1308.0,81,164
1309.0,81,164
1310.0,82,164
1311.0,80,164
1312.0,80,165
1313.0,79,164
1314.0,78,164
1315.0,78,165
1316.0,77,166
1317.0,77,165
1318.0,78,167
1319.0,79,167
1320.0,76,165
1321.0,77,166
1322.0,76,166
1323.0,76,165
1324.0,78,166
1325.0,79,165
1326.0,78,163
1327.0,78,163
1328.0,79,161
1329.0,77,160
1330.0,78,160
1331.0,78,160
1332.0,77,158
1333.0,78,158
1334.0,77,154
1335.0,77,152
1336.0,76,153
1337.0,77,150
1338.0,77,149
1339.0,77,149
1340.0,76,148
1341.0,76,147
1342.0,77,147
1343.0,76,147
1344.0,76,146
1345.0,74,145
1346.0,74,144
1347.0,73,144
1348.0,73,143
1349.0,72,143
1350.0,72,142
1351.0,71,141
1352.0,71,141
1353.0,69,140
1354.0,71,143
1355.0,70,142
1356.0,69,141
1357.0,68,141
1358.0,67,140
1359.0,68,141
1360.0,66,141
1361.0,66,140
1362.0,65,140
1363.0,66,141
1364.0,66,141
1365.0,66,141
1366.0,67,141
1367.0,66,140
1368.0,65,139
1369.0,65,136
1370.0,62,134
1371.0,62,132
1372.0,59,133
1373.0,58,133
1374.0,56,132
1375.0,53,132
1376.0,52,132
1377.0,51,132
1378.0,51,131
1379.0,51,130
1380.0,51,131
